This date, then the wip was;WIP;This date, then the baclog was;Backlog
Fri Jan 21 00:00:00 CET 2011;157;Thu Jan 20 00:00:00 CET 2011;316
Sat Jan 22 00:00:00 CET 2011;136;Fri Jan 21 00:00:00 CET 2011;308
Mon Jan 24 00:00:00 CET 2011;136;Sat Jan 22 00:00:00 CET 2011;296
Tue Jan 25 00:00:00 CET 2011;148;Mon Jan 24 00:00:00 CET 2011;325
Wed Jan 26 00:00:00 CET 2011;142;Tue Jan 25 00:00:00 CET 2011;332
Thu Jan 27 00:00:00 CET 2011;129;Wed Jan 26 00:00:00 CET 2011;326
Fri Jan 28 00:00:00 CET 2011;138;Thu Jan 27 00:00:00 CET 2011;318
Sun Jan 30 00:00:00 CET 2011;118;Fri Jan 28 00:00:00 CET 2011;328
Mon Jan 31 00:00:00 CET 2011;136;Sun Jan 30 00:00:00 CET 2011;313
Tue Feb 01 00:00:00 CET 2011;165;Mon Jan 31 00:00:00 CET 2011;335
Wed Feb 02 00:00:00 CET 2011;190;Tue Feb 01 00:00:00 CET 2011;350
Thu Feb 03 00:00:00 CET 2011;195;Wed Feb 02 00:00:00 CET 2011;344
Fri Feb 04 00:00:00 CET 2011;187;Thu Feb 03 00:00:00 CET 2011;319
Sat Feb 05 00:00:00 CET 2011;168;Fri Feb 04 00:00:00 CET 2011;308
Mon Feb 07 00:00:00 CET 2011;189;Sat Feb 05 00:00:00 CET 2011;284
Tue Feb 08 00:00:00 CET 2011;211;Mon Feb 07 00:00:00 CET 2011;319
Wed Feb 09 00:00:00 CET 2011;210;Tue Feb 08 00:00:00 CET 2011;303
Thu Feb 10 00:00:00 CET 2011;198;Wed Feb 09 00:00:00 CET 2011;299
Fri Feb 11 00:00:00 CET 2011;184;Thu Feb 10 00:00:00 CET 2011;294
Mon Feb 14 00:00:00 CET 2011;173;Fri Feb 11 00:00:00 CET 2011;288
Tue Feb 15 00:00:00 CET 2011;197;Mon Feb 14 00:00:00 CET 2011;289
Wed Feb 16 00:00:00 CET 2011;197;Tue Feb 15 00:00:00 CET 2011;280
Thu Feb 17 00:00:00 CET 2011;185;Wed Feb 16 00:00:00 CET 2011;270
Fri Feb 18 00:00:00 CET 2011;175;Thu Feb 17 00:00:00 CET 2011;258
Mon Feb 21 00:00:00 CET 2011;153;Fri Feb 18 00:00:00 CET 2011;269
Tue Feb 22 00:00:00 CET 2011;178;Mon Feb 21 00:00:00 CET 2011;267
Wed Feb 23 00:00:00 CET 2011;176;Tue Feb 22 00:00:00 CET 2011;274
Thu Feb 24 00:00:00 CET 2011;149;Wed Feb 23 00:00:00 CET 2011;259
Fri Feb 25 00:00:00 CET 2011;140;Thu Feb 24 00:00:00 CET 2011;264
Mon Feb 28 00:00:00 CET 2011;126;Fri Feb 25 00:00:00 CET 2011;263
Tue Mar 01 00:00:00 CET 2011;141;Mon Feb 28 00:00:00 CET 2011;274
Wed Mar 02 00:00:00 CET 2011;140;Tue Mar 01 00:00:00 CET 2011;276
Thu Mar 03 00:00:00 CET 2011;147;Wed Mar 02 00:00:00 CET 2011;263
Fri Mar 04 00:00:00 CET 2011;153;Thu Mar 03 00:00:00 CET 2011;276
Mon Mar 07 00:00:00 CET 2011;149;Fri Mar 04 00:00:00 CET 2011;269
Tue Mar 08 00:00:00 CET 2011;171;Mon Mar 07 00:00:00 CET 2011;280
Wed Mar 09 00:00:00 CET 2011;176;Tue Mar 08 00:00:00 CET 2011;281
Thu Mar 10 00:00:00 CET 2011;173;Wed Mar 09 00:00:00 CET 2011;264
Fri Mar 11 00:00:00 CET 2011;175;Thu Mar 10 00:00:00 CET 2011;255
Mon Mar 14 00:00:00 CET 2011;164;Fri Mar 11 00:00:00 CET 2011;253
Tue Mar 15 00:00:00 CET 2011;200;Sun Mar 13 00:00:00 CET 2011;242
Wed Mar 16 00:00:00 CET 2011;215;Mon Mar 14 00:00:00 CET 2011;272
Thu Mar 17 00:00:00 CET 2011;219;Tue Mar 15 00:00:00 CET 2011;284
Fri Mar 18 00:00:00 CET 2011;211;Wed Mar 16 00:00:00 CET 2011;265
Sun Mar 20 00:00:00 CET 2011;189;Thu Mar 17 00:00:00 CET 2011;264
Mon Mar 21 00:00:00 CET 2011;208;Fri Mar 18 00:00:00 CET 2011;263
Tue Mar 22 00:00:00 CET 2011;215;Sun Mar 20 00:00:00 CET 2011;254
Wed Mar 23 00:00:00 CET 2011;210;Mon Mar 21 00:00:00 CET 2011;303
Thu Mar 24 00:00:00 CET 2011;199;Tue Mar 22 00:00:00 CET 2011;306
Fri Mar 25 00:00:00 CET 2011;186;Wed Mar 23 00:00:00 CET 2011;306
Mon Mar 28 00:00:00 CEST 2011;199;Thu Mar 24 00:00:00 CET 2011;292
Tue Mar 29 00:00:00 CEST 2011;212;Fri Mar 25 00:00:00 CET 2011;299
Wed Mar 30 00:00:00 CEST 2011;206;Mon Mar 28 00:00:00 CEST 2011;321
Thu Mar 31 00:00:00 CEST 2011;217;Tue Mar 29 00:00:00 CEST 2011;324
Fri Apr 01 00:00:00 CEST 2011;214;Wed Mar 30 00:00:00 CEST 2011;325
Mon Apr 04 00:00:00 CEST 2011;207;Thu Mar 31 00:00:00 CEST 2011;321
Tue Apr 05 00:00:00 CEST 2011;225;Fri Apr 01 00:00:00 CEST 2011;317
Wed Apr 06 00:00:00 CEST 2011;232;Mon Apr 04 00:00:00 CEST 2011;323
Thu Apr 07 00:00:00 CEST 2011;256;Tue Apr 05 00:00:00 CEST 2011;326
Fri Apr 08 00:00:00 CEST 2011;260;Wed Apr 06 00:00:00 CEST 2011;324
Mon Apr 11 00:00:00 CEST 2011;227;Thu Apr 07 00:00:00 CEST 2011;320
Tue Apr 12 00:00:00 CEST 2011;234;Fri Apr 08 00:00:00 CEST 2011;307
Wed Apr 13 00:00:00 CEST 2011;224;Mon Apr 11 00:00:00 CEST 2011;306
Thu Apr 14 00:00:00 CEST 2011;223;Tue Apr 12 00:00:00 CEST 2011;294
Fri Apr 15 00:00:00 CEST 2011;224;Wed Apr 13 00:00:00 CEST 2011;290
Mon Apr 18 00:00:00 CEST 2011;180;Thu Apr 14 00:00:00 CEST 2011;294
Tue Apr 19 00:00:00 CEST 2011;190;Fri Apr 15 00:00:00 CEST 2011;285
Wed Apr 20 00:00:00 CEST 2011;189;Mon Apr 18 00:00:00 CEST 2011;287
Thu Apr 21 00:00:00 CEST 2011;198;Tue Apr 19 00:00:00 CEST 2011;292
Mon Apr 25 00:00:00 CEST 2011;194;Wed Apr 20 00:00:00 CEST 2011;291
Tue Apr 26 00:00:00 CEST 2011;214;Thu Apr 21 00:00:00 CEST 2011;286
Wed Apr 27 00:00:00 CEST 2011;235;Mon Apr 25 00:00:00 CEST 2011;276
Thu Apr 28 00:00:00 CEST 2011;228;Tue Apr 26 00:00:00 CEST 2011;282
Fri Apr 29 00:00:00 CEST 2011;236;Wed Apr 27 00:00:00 CEST 2011;281
Sat Apr 30 00:00:00 CEST 2011;209;Thu Apr 28 00:00:00 CEST 2011;249
Sun May 01 00:00:00 CEST 2011;187;Fri Apr 29 00:00:00 CEST 2011;258
Mon May 02 00:00:00 CEST 2011;196;Sun May 01 00:00:00 CEST 2011;233
Tue May 03 00:00:00 CEST 2011;211;Mon May 02 00:00:00 CEST 2011;248
Wed May 04 00:00:00 CEST 2011;219;Tue May 03 00:00:00 CEST 2011;253
Thu May 05 00:00:00 CEST 2011;212;Wed May 04 00:00:00 CEST 2011;252
Fri May 06 00:00:00 CEST 2011;205;Thu May 05 00:00:00 CEST 2011;240
Mon May 09 00:00:00 CEST 2011;202;Fri May 06 00:00:00 CEST 2011;247
Tue May 10 00:00:00 CEST 2011;219;Mon May 09 00:00:00 CEST 2011;281
Wed May 11 00:00:00 CEST 2011;215;Tue May 10 00:00:00 CEST 2011;257
Thu May 12 00:00:00 CEST 2011;209;Wed May 11 00:00:00 CEST 2011;255
Fri May 13 00:00:00 CEST 2011;209;Thu May 12 00:00:00 CEST 2011;267
Mon May 16 00:00:00 CEST 2011;218;Fri May 13 00:00:00 CEST 2011;262
Tue May 17 00:00:00 CEST 2011;222;Mon May 16 00:00:00 CEST 2011;251
Wed May 18 00:00:00 CEST 2011;248;Tue May 17 00:00:00 CEST 2011;234
Thu May 19 00:00:00 CEST 2011;257;Wed May 18 00:00:00 CEST 2011;246
Fri May 20 00:00:00 CEST 2011;242;Thu May 19 00:00:00 CEST 2011;224
Mon May 23 00:00:00 CEST 2011;225;Fri May 20 00:00:00 CEST 2011;252
Tue May 24 00:00:00 CEST 2011;250;Mon May 23 00:00:00 CEST 2011;263
Wed May 25 00:00:00 CEST 2011;244;Tue May 24 00:00:00 CEST 2011;280
Thu May 26 00:00:00 CEST 2011;241;Wed May 25 00:00:00 CEST 2011;276
Fri May 27 00:00:00 CEST 2011;239;Thu May 26 00:00:00 CEST 2011;279
Sat May 28 00:00:00 CEST 2011;221;Fri May 27 00:00:00 CEST 2011;281
Mon May 30 00:00:00 CEST 2011;269;Mon May 30 00:00:00 CEST 2011;296
Tue May 31 00:00:00 CEST 2011;305;Tue May 31 00:00:00 CEST 2011;274
Wed Jun 01 00:00:00 CEST 2011;308;Wed Jun 01 00:00:00 CEST 2011;264
Thu Jun 02 00:00:00 CEST 2011;287;Thu Jun 02 00:00:00 CEST 2011;246
Fri Jun 03 00:00:00 CEST 2011;288;Fri Jun 03 00:00:00 CEST 2011;250
Mon Jun 06 00:00:00 CEST 2011;272;Mon Jun 06 00:00:00 CEST 2011;240
Tue Jun 07 00:00:00 CEST 2011;281;Tue Jun 07 00:00:00 CEST 2011;235
Wed Jun 08 00:00:00 CEST 2011;265;Wed Jun 08 00:00:00 CEST 2011;247
Thu Jun 09 00:00:00 CEST 2011;271;Thu Jun 09 00:00:00 CEST 2011;254
Fri Jun 10 00:00:00 CEST 2011;277;Fri Jun 10 00:00:00 CEST 2011;246
Sat Jun 11 00:00:00 CEST 2011;250;Sun Jun 12 00:00:00 CEST 2011;220
Mon Jun 13 00:00:00 CEST 2011;245;Mon Jun 13 00:00:00 CEST 2011;227
Tue Jun 14 00:00:00 CEST 2011;276;Tue Jun 14 00:00:00 CEST 2011;238
Wed Jun 15 00:00:00 CEST 2011;282;Wed Jun 15 00:00:00 CEST 2011;247
Thu Jun 16 00:00:00 CEST 2011;253;Thu Jun 16 00:00:00 CEST 2011;234
Fri Jun 17 00:00:00 CEST 2011;224;Fri Jun 17 00:00:00 CEST 2011;230
Sat Jun 18 00:00:00 CEST 2011;170;Mon Jun 20 00:00:00 CEST 2011;235
Mon Jun 20 00:00:00 CEST 2011;157;Tue Jun 21 00:00:00 CEST 2011;249
Tue Jun 21 00:00:00 CEST 2011;177;Wed Jun 22 00:00:00 CEST 2011;239
Wed Jun 22 00:00:00 CEST 2011;167;Thu Jun 23 00:00:00 CEST 2011;267
Thu Jun 23 00:00:00 CEST 2011;144;Fri Jun 24 00:00:00 CEST 2011;270
Fri Jun 24 00:00:00 CEST 2011;141;Mon Jun 27 00:00:00 CEST 2011;267
Mon Jun 27 00:00:00 CEST 2011;122;Tue Jun 28 00:00:00 CEST 2011;286
Tue Jun 28 00:00:00 CEST 2011;140;Wed Jun 29 00:00:00 CEST 2011;284
Wed Jun 29 00:00:00 CEST 2011;150;Thu Jun 30 00:00:00 CEST 2011;273
Thu Jun 30 00:00:00 CEST 2011;152;Fri Jul 01 00:00:00 CEST 2011;277
Fri Jul 01 00:00:00 CEST 2011;164;Mon Jul 04 00:00:00 CEST 2011;256
Mon Jul 04 00:00:00 CEST 2011;136;Tue Jul 05 00:00:00 CEST 2011;255
Tue Jul 05 00:00:00 CEST 2011;144;Wed Jul 06 00:00:00 CEST 2011;256
Wed Jul 06 00:00:00 CEST 2011;151;Thu Jul 07 00:00:00 CEST 2011;255
Thu Jul 07 00:00:00 CEST 2011;149;Fri Jul 08 00:00:00 CEST 2011;250
Fri Jul 08 00:00:00 CEST 2011;147;Sun Jul 10 00:00:00 CEST 2011;243
Mon Jul 11 00:00:00 CEST 2011;138;Mon Jul 11 00:00:00 CEST 2011;257
Tue Jul 12 00:00:00 CEST 2011;147;Tue Jul 12 00:00:00 CEST 2011;251
Wed Jul 13 00:00:00 CEST 2011;151;Wed Jul 13 00:00:00 CEST 2011;281
Thu Jul 14 00:00:00 CEST 2011;146;Thu Jul 14 00:00:00 CEST 2011;288
Fri Jul 15 00:00:00 CEST 2011;152;Fri Jul 15 00:00:00 CEST 2011;289
Mon Jul 18 00:00:00 CEST 2011;145;Mon Jul 18 00:00:00 CEST 2011;269
Tue Jul 19 00:00:00 CEST 2011;151;Tue Jul 19 00:00:00 CEST 2011;280
Wed Jul 20 00:00:00 CEST 2011;158;Wed Jul 20 00:00:00 CEST 2011;288
Thu Jul 21 00:00:00 CEST 2011;153;Thu Jul 21 00:00:00 CEST 2011;272
Fri Jul 22 00:00:00 CEST 2011;159;Fri Jul 22 00:00:00 CEST 2011;277
Mon Jul 25 00:00:00 CEST 2011;169;Mon Jul 25 00:00:00 CEST 2011;280
Tue Jul 26 00:00:00 CEST 2011;174;Tue Jul 26 00:00:00 CEST 2011;263
Wed Jul 27 00:00:00 CEST 2011;174;Wed Jul 27 00:00:00 CEST 2011;264
Thu Jul 28 00:00:00 CEST 2011;187;Thu Jul 28 00:00:00 CEST 2011;259
Fri Jul 29 00:00:00 CEST 2011;193;Fri Jul 29 00:00:00 CEST 2011;261
Mon Aug 01 00:00:00 CEST 2011;192;Mon Aug 01 00:00:00 CEST 2011;259
Tue Aug 02 00:00:00 CEST 2011;203;Tue Aug 02 00:00:00 CEST 2011;255
Wed Aug 03 00:00:00 CEST 2011;205;Wed Aug 03 00:00:00 CEST 2011;251
Thu Aug 04 00:00:00 CEST 2011;206;Thu Aug 04 00:00:00 CEST 2011;245
Fri Aug 05 00:00:00 CEST 2011;202;Fri Aug 05 00:00:00 CEST 2011;253
Mon Aug 08 00:00:00 CEST 2011;212;Mon Aug 08 00:00:00 CEST 2011;247
Tue Aug 09 00:00:00 CEST 2011;228;Tue Aug 09 00:00:00 CEST 2011;236
Wed Aug 10 00:00:00 CEST 2011;207;Wed Aug 10 00:00:00 CEST 2011;222
Thu Aug 11 00:00:00 CEST 2011;209;Thu Aug 11 00:00:00 CEST 2011;225
Fri Aug 12 00:00:00 CEST 2011;221;Fri Aug 12 00:00:00 CEST 2011;224
Mon Aug 15 00:00:00 CEST 2011;217;Mon Aug 15 00:00:00 CEST 2011;216
Tue Aug 16 00:00:00 CEST 2011;225;Tue Aug 16 00:00:00 CEST 2011;224
Wed Aug 17 00:00:00 CEST 2011;217;Wed Aug 17 00:00:00 CEST 2011;229
Thu Aug 18 00:00:00 CEST 2011;215;Thu Aug 18 00:00:00 CEST 2011;227
Fri Aug 19 00:00:00 CEST 2011;219;Fri Aug 19 00:00:00 CEST 2011;244
Mon Aug 22 00:00:00 CEST 2011;227;Mon Aug 22 00:00:00 CEST 2011;246
Tue Aug 23 00:00:00 CEST 2011;234;Tue Aug 23 00:00:00 CEST 2011;250
Wed Aug 24 00:00:00 CEST 2011;231;Wed Aug 24 00:00:00 CEST 2011;252
Thu Aug 25 00:00:00 CEST 2011;222;Thu Aug 25 00:00:00 CEST 2011;251
Fri Aug 26 00:00:00 CEST 2011;234;Fri Aug 26 00:00:00 CEST 2011;265
Sun Aug 28 00:00:00 CEST 2011;217;Mon Aug 29 00:00:00 CEST 2011;251
Mon Aug 29 00:00:00 CEST 2011;234;Tue Aug 30 00:00:00 CEST 2011;260
Tue Aug 30 00:00:00 CEST 2011;249;Wed Aug 31 00:00:00 CEST 2011;262
Wed Aug 31 00:00:00 CEST 2011;241;Thu Sep 01 00:00:00 CEST 2011;255
Thu Sep 01 00:00:00 CEST 2011;232;Fri Sep 02 00:00:00 CEST 2011;273
Fri Sep 02 00:00:00 CEST 2011;244;Sat Sep 03 00:00:00 CEST 2011;254
Mon Sep 05 00:00:00 CEST 2011;240;Mon Sep 05 00:00:00 CEST 2011;278
Tue Sep 06 00:00:00 CEST 2011;260;Tue Sep 06 00:00:00 CEST 2011;279
Wed Sep 07 00:00:00 CEST 2011;238;Wed Sep 07 00:00:00 CEST 2011;273
Thu Sep 08 00:00:00 CEST 2011;235;Thu Sep 08 00:00:00 CEST 2011;287
Fri Sep 09 00:00:00 CEST 2011;227;Fri Sep 09 00:00:00 CEST 2011;289
Sat Sep 10 00:00:00 CEST 2011;214;Sat Sep 10 00:00:00 CEST 2011;283
Sun Sep 11 00:00:00 CEST 2011;195;Sun Sep 11 00:00:00 CEST 2011;284
Mon Sep 12 00:00:00 CEST 2011;222;Mon Sep 12 00:00:00 CEST 2011;313
Tue Sep 13 00:00:00 CEST 2011;228;Tue Sep 13 00:00:00 CEST 2011;321
Wed Sep 14 00:00:00 CEST 2011;245;Wed Sep 14 00:00:00 CEST 2011;328
Thu Sep 15 00:00:00 CEST 2011;254;Thu Sep 15 00:00:00 CEST 2011;320
Fri Sep 16 00:00:00 CEST 2011;250;Fri Sep 16 00:00:00 CEST 2011;315
Sat Sep 17 00:00:00 CEST 2011;236;Sat Sep 17 00:00:00 CEST 2011;293
Sun Sep 18 00:00:00 CEST 2011;214;Sun Sep 18 00:00:00 CEST 2011;287
Mon Sep 19 00:00:00 CEST 2011;230;Mon Sep 19 00:00:00 CEST 2011;318
Tue Sep 20 00:00:00 CEST 2011;253;Tue Sep 20 00:00:00 CEST 2011;318
Wed Sep 21 00:00:00 CEST 2011;265;Wed Sep 21 00:00:00 CEST 2011;325
Thu Sep 22 00:00:00 CEST 2011;268;Thu Sep 22 00:00:00 CEST 2011;305
Fri Sep 23 00:00:00 CEST 2011;240;Fri Sep 23 00:00:00 CEST 2011;293
Mon Sep 26 00:00:00 CEST 2011;244;Mon Sep 26 00:00:00 CEST 2011;360
Tue Sep 27 00:00:00 CEST 2011;266;Tue Sep 27 00:00:00 CEST 2011;351
Wed Sep 28 00:00:00 CEST 2011;254;Wed Sep 28 00:00:00 CEST 2011;330
Thu Sep 29 00:00:00 CEST 2011;257;Thu Sep 29 00:00:00 CEST 2011;326
Fri Sep 30 00:00:00 CEST 2011;257;Fri Sep 30 00:00:00 CEST 2011;343
Sat Oct 01 00:00:00 CEST 2011;239;Sat Oct 01 00:00:00 CEST 2011;326
Sun Oct 02 00:00:00 CEST 2011;228;Mon Oct 03 00:00:00 CEST 2011;347
Mon Oct 03 00:00:00 CEST 2011;253;Tue Oct 04 00:00:00 CEST 2011;344
Tue Oct 04 00:00:00 CEST 2011;272;Wed Oct 05 00:00:00 CEST 2011;340
Wed Oct 05 00:00:00 CEST 2011;265;Thu Oct 06 00:00:00 CEST 2011;329
Thu Oct 06 00:00:00 CEST 2011;253;Fri Oct 07 00:00:00 CEST 2011;338
Fri Oct 07 00:00:00 CEST 2011;246;Sat Oct 08 00:00:00 CEST 2011;326
Mon Oct 10 00:00:00 CEST 2011;269;Mon Oct 10 00:00:00 CEST 2011;363
Tue Oct 11 00:00:00 CEST 2011;298;Tue Oct 11 00:00:00 CEST 2011;361
Wed Oct 12 00:00:00 CEST 2011;312;Wed Oct 12 00:00:00 CEST 2011;354
Thu Oct 13 00:00:00 CEST 2011;308;Thu Oct 13 00:00:00 CEST 2011;350
Fri Oct 14 00:00:00 CEST 2011;301;Fri Oct 14 00:00:00 CEST 2011;362
Sat Oct 15 00:00:00 CEST 2011;277;Sat Oct 15 00:00:00 CEST 2011;339
Sun Oct 16 00:00:00 CEST 2011;260;Sun Oct 16 00:00:00 CEST 2011;332
Mon Oct 17 00:00:00 CEST 2011;280;Mon Oct 17 00:00:00 CEST 2011;375
Tue Oct 18 00:00:00 CEST 2011;281;Tue Oct 18 00:00:00 CEST 2011;375
Wed Oct 19 00:00:00 CEST 2011;266;Wed Oct 19 00:00:00 CEST 2011;387
Thu Oct 20 00:00:00 CEST 2011;279;Thu Oct 20 00:00:00 CEST 2011;390
Fri Oct 21 00:00:00 CEST 2011;276;Fri Oct 21 00:00:00 CEST 2011;389
Sun Oct 23 00:00:00 CEST 2011;231;Sun Oct 23 00:00:00 CEST 2011;363
Mon Oct 24 00:00:00 CEST 2011;258;Mon Oct 24 00:00:00 CEST 2011;398
Tue Oct 25 00:00:00 CEST 2011;264;Tue Oct 25 00:00:00 CEST 2011;383
Wed Oct 26 00:00:00 CEST 2011;270;Wed Oct 26 00:00:00 CEST 2011;385
Thu Oct 27 00:00:00 CEST 2011;266;Thu Oct 27 00:00:00 CEST 2011;367
Fri Oct 28 00:00:00 CEST 2011;280;Fri Oct 28 00:00:00 CEST 2011;382
Sat Oct 29 00:00:00 CEST 2011;273;Mon Oct 31 00:00:00 CET 2011;375
Sun Oct 30 00:00:00 CEST 2011;264;Tue Nov 01 00:00:00 CET 2011;363
Mon Oct 31 00:00:00 CET 2011;302;Wed Nov 02 00:00:00 CET 2011;374
Tue Nov 01 00:00:00 CET 2011;286;Thu Nov 03 00:00:00 CET 2011;355
Wed Nov 02 00:00:00 CET 2011;305;Fri Nov 04 00:00:00 CET 2011;359
Thu Nov 03 00:00:00 CET 2011;316;Sat Nov 05 00:00:00 CET 2011;349
Fri Nov 04 00:00:00 CET 2011;316;Sun Nov 06 00:00:00 CET 2011;316
Sat Nov 05 00:00:00 CET 2011;295;Mon Nov 07 00:00:00 CET 2011;324
Sun Nov 06 00:00:00 CET 2011;261;Tue Nov 08 00:00:00 CET 2011;324
Mon Nov 07 00:00:00 CET 2011;266;Wed Nov 09 00:00:00 CET 2011;326
Tue Nov 08 00:00:00 CET 2011;266;Thu Nov 10 00:00:00 CET 2011;324
Wed Nov 09 00:00:00 CET 2011;237;Fri Nov 11 00:00:00 CET 2011;338
Thu Nov 10 00:00:00 CET 2011;214;Sat Nov 12 00:00:00 CET 2011;307
Fri Nov 11 00:00:00 CET 2011;206;Mon Nov 14 00:00:00 CET 2011;331
Mon Nov 14 00:00:00 CET 2011;192;Tue Nov 15 00:00:00 CET 2011;344
Tue Nov 15 00:00:00 CET 2011;226;Wed Nov 16 00:00:00 CET 2011;342
Wed Nov 16 00:00:00 CET 2011;228;Thu Nov 17 00:00:00 CET 2011;359
Thu Nov 17 00:00:00 CET 2011;227;Fri Nov 18 00:00:00 CET 2011;373
Fri Nov 18 00:00:00 CET 2011;236;Mon Nov 21 00:00:00 CET 2011;370
Mon Nov 21 00:00:00 CET 2011;232;Tue Nov 22 00:00:00 CET 2011;378
Tue Nov 22 00:00:00 CET 2011;234;Wed Nov 23 00:00:00 CET 2011;424
Wed Nov 23 00:00:00 CET 2011;253;Thu Nov 24 00:00:00 CET 2011;407
Thu Nov 24 00:00:00 CET 2011;259;Fri Nov 25 00:00:00 CET 2011;403
Fri Nov 25 00:00:00 CET 2011;217;Mon Nov 28 00:00:00 CET 2011;413
Mon Nov 28 00:00:00 CET 2011;248;Tue Nov 29 00:00:00 CET 2011;415
Tue Nov 29 00:00:00 CET 2011;265;Wed Nov 30 00:00:00 CET 2011;401
Wed Nov 30 00:00:00 CET 2011;249;Thu Dec 01 00:00:00 CET 2011;408
Thu Dec 01 00:00:00 CET 2011;263;Fri Dec 02 00:00:00 CET 2011;403
Fri Dec 02 00:00:00 CET 2011;280;Sun Dec 04 00:00:00 CET 2011;377
Mon Dec 05 00:00:00 CET 2011;236;Mon Dec 05 00:00:00 CET 2011;395
Tue Dec 06 00:00:00 CET 2011;253;Tue Dec 06 00:00:00 CET 2011;399
Wed Dec 07 00:00:00 CET 2011;268;Wed Dec 07 00:00:00 CET 2011;407
Thu Dec 08 00:00:00 CET 2011;276;Thu Dec 08 00:00:00 CET 2011;405
Fri Dec 09 00:00:00 CET 2011;274;Fri Dec 09 00:00:00 CET 2011;421
Sat Dec 10 00:00:00 CET 2011;260;Sun Dec 11 00:00:00 CET 2011;389
Sun Dec 11 00:00:00 CET 2011;246;Mon Dec 12 00:00:00 CET 2011;405
Mon Dec 12 00:00:00 CET 2011;268;Tue Dec 13 00:00:00 CET 2011;439
Tue Dec 13 00:00:00 CET 2011;309;Wed Dec 14 00:00:00 CET 2011;412
Wed Dec 14 00:00:00 CET 2011;283;Thu Dec 15 00:00:00 CET 2011;404
Thu Dec 15 00:00:00 CET 2011;275;Fri Dec 16 00:00:00 CET 2011;408
Fri Dec 16 00:00:00 CET 2011;265;Mon Dec 19 00:00:00 CET 2011;424
Mon Dec 19 00:00:00 CET 2011;238;Tue Dec 20 00:00:00 CET 2011;441
Tue Dec 20 00:00:00 CET 2011;255;Wed Dec 21 00:00:00 CET 2011;430
Wed Dec 21 00:00:00 CET 2011;270;Thu Dec 22 00:00:00 CET 2011;417
Thu Dec 22 00:00:00 CET 2011;267;Fri Dec 23 00:00:00 CET 2011;412
Fri Dec 23 00:00:00 CET 2011;241;Mon Dec 26 00:00:00 CET 2011;417
Mon Dec 26 00:00:00 CET 2011;229;Tue Dec 27 00:00:00 CET 2011;411
Tue Dec 27 00:00:00 CET 2011;235;Wed Dec 28 00:00:00 CET 2011;419
Wed Dec 28 00:00:00 CET 2011;237;Thu Dec 29 00:00:00 CET 2011;412
Thu Dec 29 00:00:00 CET 2011;233;Fri Dec 30 00:00:00 CET 2011;408
Fri Dec 30 00:00:00 CET 2011;234;Mon Jan 02 00:00:00 CET 2012;420
Mon Jan 02 00:00:00 CET 2012;250;Tue Jan 03 00:00:00 CET 2012;496
Tue Jan 03 00:00:00 CET 2012;273;Wed Jan 04 00:00:00 CET 2012;487
Wed Jan 04 00:00:00 CET 2012;288;Thu Jan 05 00:00:00 CET 2012;483
Thu Jan 05 00:00:00 CET 2012;299;Fri Jan 06 00:00:00 CET 2012;499
Fri Jan 06 00:00:00 CET 2012;290;Sat Jan 07 00:00:00 CET 2012;482
Mon Jan 09 00:00:00 CET 2012;298;Mon Jan 09 00:00:00 CET 2012;511
Tue Jan 10 00:00:00 CET 2012;315;Tue Jan 10 00:00:00 CET 2012;507
Wed Jan 11 00:00:00 CET 2012;284;Wed Jan 11 00:00:00 CET 2012;520
Thu Jan 12 00:00:00 CET 2012;288;Thu Jan 12 00:00:00 CET 2012;545
Fri Jan 13 00:00:00 CET 2012;283;Fri Jan 13 00:00:00 CET 2012;523
Mon Jan 16 00:00:00 CET 2012;283;Sat Jan 14 00:00:00 CET 2012;517
