This date, then the wip was;WIP;This date, then the baclog was;Backlog
Tue Jan 17 00:00:00 CET 2012;322;Mon Jan 16 00:00:00 CET 2012;567
Wed Jan 18 00:00:00 CET 2012;338;Tue Jan 17 00:00:00 CET 2012;562
Thu Jan 19 00:00:00 CET 2012;321;Wed Jan 18 00:00:00 CET 2012;544
Fri Jan 20 00:00:00 CET 2012;326;Thu Jan 19 00:00:00 CET 2012;529
Mon Jan 23 00:00:00 CET 2012;298;Fri Jan 20 00:00:00 CET 2012;504
Tue Jan 24 00:00:00 CET 2012;309;Mon Jan 23 00:00:00 CET 2012;515
Wed Jan 25 00:00:00 CET 2012;279;Tue Jan 24 00:00:00 CET 2012;489
Thu Jan 26 00:00:00 CET 2012;267;Wed Jan 25 00:00:00 CET 2012;478
Fri Jan 27 00:00:00 CET 2012;271;Thu Jan 26 00:00:00 CET 2012;449
Mon Jan 30 00:00:00 CET 2012;263;Fri Jan 27 00:00:00 CET 2012;454
Tue Jan 31 00:00:00 CET 2012;295;Mon Jan 30 00:00:00 CET 2012;454
Wed Feb 01 00:00:00 CET 2012;276;Tue Jan 31 00:00:00 CET 2012;467
Thu Feb 02 00:00:00 CET 2012;283;Wed Feb 01 00:00:00 CET 2012;439
Fri Feb 03 00:00:00 CET 2012;276;Thu Feb 02 00:00:00 CET 2012;445
Mon Feb 06 00:00:00 CET 2012;231;Fri Feb 03 00:00:00 CET 2012;439
Tue Feb 07 00:00:00 CET 2012;254;Mon Feb 06 00:00:00 CET 2012;451
Wed Feb 08 00:00:00 CET 2012;274;Tue Feb 07 00:00:00 CET 2012;476
Thu Feb 09 00:00:00 CET 2012;262;Wed Feb 08 00:00:00 CET 2012;484
Fri Feb 10 00:00:00 CET 2012;274;Thu Feb 09 00:00:00 CET 2012;461
Mon Feb 13 00:00:00 CET 2012;234;Fri Feb 10 00:00:00 CET 2012;449
Tue Feb 14 00:00:00 CET 2012;270;Mon Feb 13 00:00:00 CET 2012;443
Wed Feb 15 00:00:00 CET 2012;275;Tue Feb 14 00:00:00 CET 2012;457
Thu Feb 16 00:00:00 CET 2012;257;Wed Feb 15 00:00:00 CET 2012;446
Fri Feb 17 00:00:00 CET 2012;247;Thu Feb 16 00:00:00 CET 2012;438
Mon Feb 20 00:00:00 CET 2012;239;Fri Feb 17 00:00:00 CET 2012;431
Tue Feb 21 00:00:00 CET 2012;266;Mon Feb 20 00:00:00 CET 2012;436
Wed Feb 22 00:00:00 CET 2012;270;Tue Feb 21 00:00:00 CET 2012;448
Thu Feb 23 00:00:00 CET 2012;268;Wed Feb 22 00:00:00 CET 2012;436
Fri Feb 24 00:00:00 CET 2012;277;Thu Feb 23 00:00:00 CET 2012;433
Mon Feb 27 00:00:00 CET 2012;271;Fri Feb 24 00:00:00 CET 2012;427
Tue Feb 28 00:00:00 CET 2012;274;Mon Feb 27 00:00:00 CET 2012;416
Wed Feb 29 00:00:00 CET 2012;291;Tue Feb 28 00:00:00 CET 2012;419
Thu Mar 01 00:00:00 CET 2012;309;Wed Feb 29 00:00:00 CET 2012;436
Fri Mar 02 00:00:00 CET 2012;306;Thu Mar 01 00:00:00 CET 2012;432
Sat Mar 03 00:00:00 CET 2012;279;Fri Mar 02 00:00:00 CET 2012;418
Sun Mar 04 00:00:00 CET 2012;244;Sat Mar 03 00:00:00 CET 2012;395
Mon Mar 05 00:00:00 CET 2012;268;Mon Mar 05 00:00:00 CET 2012;421
Tue Mar 06 00:00:00 CET 2012;290;Tue Mar 06 00:00:00 CET 2012;420
Wed Mar 07 00:00:00 CET 2012;292;Wed Mar 07 00:00:00 CET 2012;419
Thu Mar 08 00:00:00 CET 2012;294;Thu Mar 08 00:00:00 CET 2012;410
Fri Mar 09 00:00:00 CET 2012;294;Fri Mar 09 00:00:00 CET 2012;398
Mon Mar 12 00:00:00 CET 2012;281;Mon Mar 12 00:00:00 CET 2012;400
Tue Mar 13 00:00:00 CET 2012;296;Tue Mar 13 00:00:00 CET 2012;395
Wed Mar 14 00:00:00 CET 2012;287;Wed Mar 14 00:00:00 CET 2012;390
Thu Mar 15 00:00:00 CET 2012;280;Thu Mar 15 00:00:00 CET 2012;390
Fri Mar 16 00:00:00 CET 2012;256;Fri Mar 16 00:00:00 CET 2012;387
Mon Mar 19 00:00:00 CET 2012;229;Mon Mar 19 00:00:00 CET 2012;397
Tue Mar 20 00:00:00 CET 2012;255;Tue Mar 20 00:00:00 CET 2012;399
Wed Mar 21 00:00:00 CET 2012;256;Wed Mar 21 00:00:00 CET 2012;386
Thu Mar 22 00:00:00 CET 2012;265;Thu Mar 22 00:00:00 CET 2012;373
Fri Mar 23 00:00:00 CET 2012;255;Fri Mar 23 00:00:00 CET 2012;351
Mon Mar 26 00:00:00 CEST 2012;233;Sun Mar 25 00:00:00 CET 2012;346
Tue Mar 27 00:00:00 CEST 2012;253;Mon Mar 26 00:00:00 CEST 2012;370
Wed Mar 28 00:00:00 CEST 2012;250;Tue Mar 27 00:00:00 CEST 2012;394
Thu Mar 29 00:00:00 CEST 2012;227;Wed Mar 28 00:00:00 CEST 2012;377
Fri Mar 30 00:00:00 CEST 2012;227;Thu Mar 29 00:00:00 CEST 2012;374
Mon Apr 02 00:00:00 CEST 2012;203;Fri Mar 30 00:00:00 CEST 2012;390
Tue Apr 03 00:00:00 CEST 2012;213;Mon Apr 02 00:00:00 CEST 2012;391
Wed Apr 04 00:00:00 CEST 2012;215;Tue Apr 03 00:00:00 CEST 2012;391
Thu Apr 05 00:00:00 CEST 2012;223;Wed Apr 04 00:00:00 CEST 2012;394
Fri Apr 06 00:00:00 CEST 2012;215;Thu Apr 05 00:00:00 CEST 2012;390
Mon Apr 09 00:00:00 CEST 2012;212;Fri Apr 06 00:00:00 CEST 2012;382
Tue Apr 10 00:00:00 CEST 2012;222;Mon Apr 09 00:00:00 CEST 2012;385
Wed Apr 11 00:00:00 CEST 2012;244;Tue Apr 10 00:00:00 CEST 2012;383
Thu Apr 12 00:00:00 CEST 2012;255;Wed Apr 11 00:00:00 CEST 2012;392
Fri Apr 13 00:00:00 CEST 2012;249;Thu Apr 12 00:00:00 CEST 2012;389
Sat Apr 14 00:00:00 CEST 2012;234;Fri Apr 13 00:00:00 CEST 2012;384
Mon Apr 16 00:00:00 CEST 2012;241;Mon Apr 16 00:00:00 CEST 2012;390
Tue Apr 17 00:00:00 CEST 2012;248;Tue Apr 17 00:00:00 CEST 2012;385
Wed Apr 18 00:00:00 CEST 2012;253;Wed Apr 18 00:00:00 CEST 2012;385
Thu Apr 19 00:00:00 CEST 2012;254;Thu Apr 19 00:00:00 CEST 2012;400
Fri Apr 20 00:00:00 CEST 2012;248;Fri Apr 20 00:00:00 CEST 2012;393
Mon Apr 23 00:00:00 CEST 2012;215;Mon Apr 23 00:00:00 CEST 2012;383
Tue Apr 24 00:00:00 CEST 2012;238;Tue Apr 24 00:00:00 CEST 2012;404
Wed Apr 25 00:00:00 CEST 2012;248;Wed Apr 25 00:00:00 CEST 2012;406
Thu Apr 26 00:00:00 CEST 2012;252;Thu Apr 26 00:00:00 CEST 2012;391
Fri Apr 27 00:00:00 CEST 2012;256;Fri Apr 27 00:00:00 CEST 2012;396
Mon Apr 30 00:00:00 CEST 2012;233;Mon Apr 30 00:00:00 CEST 2012;401
Wed May 02 00:00:00 CEST 2012;254;Wed May 02 00:00:00 CEST 2012;413
Thu May 03 00:00:00 CEST 2012;280;Thu May 03 00:00:00 CEST 2012;397
Fri May 04 00:00:00 CEST 2012;292;Fri May 04 00:00:00 CEST 2012;392
Mon May 07 00:00:00 CEST 2012;278;Mon May 07 00:00:00 CEST 2012;370
Tue May 08 00:00:00 CEST 2012;309;Tue May 08 00:00:00 CEST 2012;375
Wed May 09 00:00:00 CEST 2012;333;Wed May 09 00:00:00 CEST 2012;377
Thu May 10 00:00:00 CEST 2012;313;Thu May 10 00:00:00 CEST 2012;353
Fri May 11 00:00:00 CEST 2012;303;Fri May 11 00:00:00 CEST 2012;366
Sun May 13 00:00:00 CEST 2012;246;Sun May 13 00:00:00 CEST 2012;340
Mon May 14 00:00:00 CEST 2012;279;Mon May 14 00:00:00 CEST 2012;360
Tue May 15 00:00:00 CEST 2012;301;Tue May 15 00:00:00 CEST 2012;358
Wed May 16 00:00:00 CEST 2012;298;Wed May 16 00:00:00 CEST 2012;352
Thu May 17 00:00:00 CEST 2012;283;Thu May 17 00:00:00 CEST 2012;342
Fri May 18 00:00:00 CEST 2012;277;Fri May 18 00:00:00 CEST 2012;345
Sun May 20 00:00:00 CEST 2012;261;Sun May 20 00:00:00 CEST 2012;334
Mon May 21 00:00:00 CEST 2012;282;Mon May 21 00:00:00 CEST 2012;352
Tue May 22 00:00:00 CEST 2012;292;Tue May 22 00:00:00 CEST 2012;351
Wed May 23 00:00:00 CEST 2012;305;Wed May 23 00:00:00 CEST 2012;443
Thu May 24 00:00:00 CEST 2012;321;Thu May 24 00:00:00 CEST 2012;436
Fri May 25 00:00:00 CEST 2012;320;Fri May 25 00:00:00 CEST 2012;409
Sat May 26 00:00:00 CEST 2012;291;Sat May 26 00:00:00 CEST 2012;384
Mon May 28 00:00:00 CEST 2012;294;Sun May 27 00:00:00 CEST 2012;384
Tue May 29 00:00:00 CEST 2012;314;Mon May 28 00:00:00 CEST 2012;400
Wed May 30 00:00:00 CEST 2012;324;Tue May 29 00:00:00 CEST 2012;395
Thu May 31 00:00:00 CEST 2012;319;Wed May 30 00:00:00 CEST 2012;397
Fri Jun 01 00:00:00 CEST 2012;314;Thu May 31 00:00:00 CEST 2012;379
Sat Jun 02 00:00:00 CEST 2012;307;Fri Jun 01 00:00:00 CEST 2012;390
Mon Jun 04 00:00:00 CEST 2012;318;Mon Jun 04 00:00:00 CEST 2012;388
Tue Jun 05 00:00:00 CEST 2012;316;Tue Jun 05 00:00:00 CEST 2012;379
Wed Jun 06 00:00:00 CEST 2012;326;Wed Jun 06 00:00:00 CEST 2012;410
Thu Jun 07 00:00:00 CEST 2012;318;Thu Jun 07 00:00:00 CEST 2012;398
Fri Jun 08 00:00:00 CEST 2012;310;Fri Jun 08 00:00:00 CEST 2012;395
Sat Jun 09 00:00:00 CEST 2012;292;Sat Jun 09 00:00:00 CEST 2012;384
Sun Jun 10 00:00:00 CEST 2012;285;Sun Jun 10 00:00:00 CEST 2012;381
Mon Jun 11 00:00:00 CEST 2012;317;Mon Jun 11 00:00:00 CEST 2012;419
Tue Jun 12 00:00:00 CEST 2012;356;Tue Jun 12 00:00:00 CEST 2012;445
Wed Jun 13 00:00:00 CEST 2012;371;Wed Jun 13 00:00:00 CEST 2012;435
Thu Jun 14 00:00:00 CEST 2012;356;Thu Jun 14 00:00:00 CEST 2012;423
Fri Jun 15 00:00:00 CEST 2012;357;Fri Jun 15 00:00:00 CEST 2012;424
Sat Jun 16 00:00:00 CEST 2012;325;Sat Jun 16 00:00:00 CEST 2012;394
Sun Jun 17 00:00:00 CEST 2012;303;Mon Jun 18 00:00:00 CEST 2012;427
Mon Jun 18 00:00:00 CEST 2012;347;Tue Jun 19 00:00:00 CEST 2012;425
Tue Jun 19 00:00:00 CEST 2012;399;Wed Jun 20 00:00:00 CEST 2012;404
Wed Jun 20 00:00:00 CEST 2012;394;Thu Jun 21 00:00:00 CEST 2012;397
Thu Jun 21 00:00:00 CEST 2012;372;Fri Jun 22 00:00:00 CEST 2012;385
Fri Jun 22 00:00:00 CEST 2012;363;Mon Jun 25 00:00:00 CEST 2012;390
Mon Jun 25 00:00:00 CEST 2012;334;Tue Jun 26 00:00:00 CEST 2012;372
Tue Jun 26 00:00:00 CEST 2012;382;Wed Jun 27 00:00:00 CEST 2012;341
Wed Jun 27 00:00:00 CEST 2012;387;Thu Jun 28 00:00:00 CEST 2012;337
Thu Jun 28 00:00:00 CEST 2012;369;Fri Jun 29 00:00:00 CEST 2012;344
Fri Jun 29 00:00:00 CEST 2012;377;Sat Jun 30 00:00:00 CEST 2012;311
Sat Jun 30 00:00:00 CEST 2012;329;Sun Jul 01 00:00:00 CEST 2012;314
Mon Jul 02 00:00:00 CEST 2012;296;Mon Jul 02 00:00:00 CEST 2012;333
Tue Jul 03 00:00:00 CEST 2012;305;Tue Jul 03 00:00:00 CEST 2012;337
Wed Jul 04 00:00:00 CEST 2012;296;Wed Jul 04 00:00:00 CEST 2012;320
Thu Jul 05 00:00:00 CEST 2012;277;Thu Jul 05 00:00:00 CEST 2012;320
Fri Jul 06 00:00:00 CEST 2012;248;Fri Jul 06 00:00:00 CEST 2012;317
Mon Jul 09 00:00:00 CEST 2012;242;Mon Jul 09 00:00:00 CEST 2012;315
Tue Jul 10 00:00:00 CEST 2012;267;Tue Jul 10 00:00:00 CEST 2012;312
Wed Jul 11 00:00:00 CEST 2012;273;Wed Jul 11 00:00:00 CEST 2012;311
Thu Jul 12 00:00:00 CEST 2012;271;Thu Jul 12 00:00:00 CEST 2012;312
Fri Jul 13 00:00:00 CEST 2012;269;Fri Jul 13 00:00:00 CEST 2012;300
Sat Jul 14 00:00:00 CEST 2012;248;Mon Jul 16 00:00:00 CEST 2012;294
Mon Jul 16 00:00:00 CEST 2012;244;Tue Jul 17 00:00:00 CEST 2012;290
Tue Jul 17 00:00:00 CEST 2012;246;Wed Jul 18 00:00:00 CEST 2012;288
Wed Jul 18 00:00:00 CEST 2012;231;Thu Jul 19 00:00:00 CEST 2012;283
Thu Jul 19 00:00:00 CEST 2012;244;Fri Jul 20 00:00:00 CEST 2012;276
Fri Jul 20 00:00:00 CEST 2012;251;Mon Jul 23 00:00:00 CEST 2012;269
Mon Jul 23 00:00:00 CEST 2012;234;Tue Jul 24 00:00:00 CEST 2012;261
Tue Jul 24 00:00:00 CEST 2012;236;Wed Jul 25 00:00:00 CEST 2012;262
Wed Jul 25 00:00:00 CEST 2012;232;Thu Jul 26 00:00:00 CEST 2012;264
Thu Jul 26 00:00:00 CEST 2012;230;Fri Jul 27 00:00:00 CEST 2012;259
Fri Jul 27 00:00:00 CEST 2012;223;Mon Jul 30 00:00:00 CEST 2012;261
Mon Jul 30 00:00:00 CEST 2012;217;Tue Jul 31 00:00:00 CEST 2012;252
Tue Jul 31 00:00:00 CEST 2012;226;Wed Aug 01 00:00:00 CEST 2012;241
Wed Aug 01 00:00:00 CEST 2012;224;Thu Aug 02 00:00:00 CEST 2012;249
Thu Aug 02 00:00:00 CEST 2012;227;Fri Aug 03 00:00:00 CEST 2012;246
Fri Aug 03 00:00:00 CEST 2012;227;Mon Aug 06 00:00:00 CEST 2012;288
Mon Aug 06 00:00:00 CEST 2012;212;Tue Aug 07 00:00:00 CEST 2012;284
Tue Aug 07 00:00:00 CEST 2012;228;Wed Aug 08 00:00:00 CEST 2012;289
Wed Aug 08 00:00:00 CEST 2012;234;Thu Aug 09 00:00:00 CEST 2012;281
Thu Aug 09 00:00:00 CEST 2012;239;Fri Aug 10 00:00:00 CEST 2012;270
Fri Aug 10 00:00:00 CEST 2012;240;Sat Aug 11 00:00:00 CEST 2012;250
Sun Aug 12 00:00:00 CEST 2012;202;Sun Aug 12 00:00:00 CEST 2012;252
Mon Aug 13 00:00:00 CEST 2012;218;Mon Aug 13 00:00:00 CEST 2012;270
Tue Aug 14 00:00:00 CEST 2012;248;Tue Aug 14 00:00:00 CEST 2012;282
Wed Aug 15 00:00:00 CEST 2012;236;Wed Aug 15 00:00:00 CEST 2012;264
Thu Aug 16 00:00:00 CEST 2012;236;Thu Aug 16 00:00:00 CEST 2012;297
Fri Aug 17 00:00:00 CEST 2012;252;Fri Aug 17 00:00:00 CEST 2012;300
Mon Aug 20 00:00:00 CEST 2012;236;Sat Aug 18 00:00:00 CEST 2012;276
Tue Aug 21 00:00:00 CEST 2012;260;Sun Aug 19 00:00:00 CEST 2012;278
Wed Aug 22 00:00:00 CEST 2012;262;Mon Aug 20 00:00:00 CEST 2012;303
Thu Aug 23 00:00:00 CEST 2012;255;Tue Aug 21 00:00:00 CEST 2012;298
Fri Aug 24 00:00:00 CEST 2012;274;Wed Aug 22 00:00:00 CEST 2012;302
Mon Aug 27 00:00:00 CEST 2012;255;Thu Aug 23 00:00:00 CEST 2012;300
Tue Aug 28 00:00:00 CEST 2012;281;Fri Aug 24 00:00:00 CEST 2012;295
Wed Aug 29 00:00:00 CEST 2012;292;Mon Aug 27 00:00:00 CEST 2012;276
Thu Aug 30 00:00:00 CEST 2012;277;Tue Aug 28 00:00:00 CEST 2012;281
Fri Aug 31 00:00:00 CEST 2012;259;Wed Aug 29 00:00:00 CEST 2012;276
Mon Sep 03 00:00:00 CEST 2012;230;Thu Aug 30 00:00:00 CEST 2012;280
Tue Sep 04 00:00:00 CEST 2012;234;Fri Aug 31 00:00:00 CEST 2012;286
Wed Sep 05 00:00:00 CEST 2012;238;Sun Sep 02 00:00:00 CEST 2012;259
Thu Sep 06 00:00:00 CEST 2012;262;Mon Sep 03 00:00:00 CEST 2012;280
Fri Sep 07 00:00:00 CEST 2012;243;Tue Sep 04 00:00:00 CEST 2012;282
Mon Sep 10 00:00:00 CEST 2012;210;Wed Sep 05 00:00:00 CEST 2012;289
Tue Sep 11 00:00:00 CEST 2012;225;Thu Sep 06 00:00:00 CEST 2012;275
Wed Sep 12 00:00:00 CEST 2012;226;Fri Sep 07 00:00:00 CEST 2012;276
Thu Sep 13 00:00:00 CEST 2012;226;Sat Sep 08 00:00:00 CEST 2012;263
Fri Sep 14 00:00:00 CEST 2012;228;Mon Sep 10 00:00:00 CEST 2012;287
Sun Sep 16 00:00:00 CEST 2012;176;Tue Sep 11 00:00:00 CEST 2012;269
Mon Sep 17 00:00:00 CEST 2012;206;Wed Sep 12 00:00:00 CEST 2012;272
Tue Sep 18 00:00:00 CEST 2012;227;Thu Sep 13 00:00:00 CEST 2012;269
Wed Sep 19 00:00:00 CEST 2012;229;Fri Sep 14 00:00:00 CEST 2012;258
Thu Sep 20 00:00:00 CEST 2012;216;Sun Sep 16 00:00:00 CEST 2012;237
Fri Sep 21 00:00:00 CEST 2012;221;Mon Sep 17 00:00:00 CEST 2012;272
Mon Sep 24 00:00:00 CEST 2012;186;Tue Sep 18 00:00:00 CEST 2012;274
Tue Sep 25 00:00:00 CEST 2012;197;Wed Sep 19 00:00:00 CEST 2012;272
Wed Sep 26 00:00:00 CEST 2012;199;Thu Sep 20 00:00:00 CEST 2012;256
Thu Sep 27 00:00:00 CEST 2012;216;Fri Sep 21 00:00:00 CEST 2012;278
Fri Sep 28 00:00:00 CEST 2012;200;Mon Sep 24 00:00:00 CEST 2012;258
Sat Sep 29 00:00:00 CEST 2012;167;Tue Sep 25 00:00:00 CEST 2012;259
Mon Oct 01 00:00:00 CEST 2012;175;Wed Sep 26 00:00:00 CEST 2012;277
Tue Oct 02 00:00:00 CEST 2012;182;Thu Sep 27 00:00:00 CEST 2012;254
Wed Oct 03 00:00:00 CEST 2012;182;Fri Sep 28 00:00:00 CEST 2012;256
Thu Oct 04 00:00:00 CEST 2012;178;Sat Sep 29 00:00:00 CEST 2012;229
Fri Oct 05 00:00:00 CEST 2012;198;Sun Sep 30 00:00:00 CEST 2012;229
Mon Oct 08 00:00:00 CEST 2012;182;Mon Oct 01 00:00:00 CEST 2012;256
Tue Oct 09 00:00:00 CEST 2012;194;Tue Oct 02 00:00:00 CEST 2012;246
Wed Oct 10 00:00:00 CEST 2012;186;Wed Oct 03 00:00:00 CEST 2012;262
Thu Oct 11 00:00:00 CEST 2012;173;Thu Oct 04 00:00:00 CEST 2012;266
Fri Oct 12 00:00:00 CEST 2012;184;Fri Oct 05 00:00:00 CEST 2012;270
Sat Oct 13 00:00:00 CEST 2012;175;Mon Oct 08 00:00:00 CEST 2012;252
Mon Oct 15 00:00:00 CEST 2012;170;Tue Oct 09 00:00:00 CEST 2012;244
Tue Oct 16 00:00:00 CEST 2012;193;Wed Oct 10 00:00:00 CEST 2012;249
Wed Oct 17 00:00:00 CEST 2012;209;Thu Oct 11 00:00:00 CEST 2012;247
Thu Oct 18 00:00:00 CEST 2012;210;Fri Oct 12 00:00:00 CEST 2012;244
Fri Oct 19 00:00:00 CEST 2012;208;Mon Oct 15 00:00:00 CEST 2012;244
Mon Oct 22 00:00:00 CEST 2012;173;Tue Oct 16 00:00:00 CEST 2012;250
Tue Oct 23 00:00:00 CEST 2012;185;Wed Oct 17 00:00:00 CEST 2012;248
Wed Oct 24 00:00:00 CEST 2012;170;Thu Oct 18 00:00:00 CEST 2012;231
Thu Oct 25 00:00:00 CEST 2012;178;Fri Oct 19 00:00:00 CEST 2012;225
Fri Oct 26 00:00:00 CEST 2012;188;Mon Oct 22 00:00:00 CEST 2012;214
Sat Oct 27 00:00:00 CEST 2012;171;Tue Oct 23 00:00:00 CEST 2012;207
Sun Oct 28 00:00:00 CEST 2012;165;Wed Oct 24 00:00:00 CEST 2012;197
Mon Oct 29 00:00:00 CET 2012;186;Thu Oct 25 00:00:00 CEST 2012;209
Tue Oct 30 00:00:00 CET 2012;206;Fri Oct 26 00:00:00 CEST 2012;215
Wed Oct 31 00:00:00 CET 2012;194;Sat Oct 27 00:00:00 CEST 2012;198
Thu Nov 01 00:00:00 CET 2012;184;Sun Oct 28 00:00:00 CEST 2012;197
Fri Nov 02 00:00:00 CET 2012;195;Mon Oct 29 00:00:00 CET 2012;214
Sat Nov 03 00:00:00 CET 2012;179;Tue Oct 30 00:00:00 CET 2012;227
Mon Nov 05 00:00:00 CET 2012;161;Wed Oct 31 00:00:00 CET 2012;217
Tue Nov 06 00:00:00 CET 2012;173;Thu Nov 01 00:00:00 CET 2012;210
Wed Nov 07 00:00:00 CET 2012;171;Fri Nov 02 00:00:00 CET 2012;206
Thu Nov 08 00:00:00 CET 2012;160;Sat Nov 03 00:00:00 CET 2012;184
Fri Nov 09 00:00:00 CET 2012;164;Mon Nov 05 00:00:00 CET 2012;198
Sat Nov 10 00:00:00 CET 2012;142;Tue Nov 06 00:00:00 CET 2012;200
Mon Nov 12 00:00:00 CET 2012;141;Wed Nov 07 00:00:00 CET 2012;194
Tue Nov 13 00:00:00 CET 2012;148;Thu Nov 08 00:00:00 CET 2012;193
Wed Nov 14 00:00:00 CET 2012;149;Fri Nov 09 00:00:00 CET 2012;190
Thu Nov 15 00:00:00 CET 2012;160;Sat Nov 10 00:00:00 CET 2012;178
Fri Nov 16 00:00:00 CET 2012;167;Mon Nov 12 00:00:00 CET 2012;180
Mon Nov 19 00:00:00 CET 2012;158;Tue Nov 13 00:00:00 CET 2012;182
Tue Nov 20 00:00:00 CET 2012;189;Wed Nov 14 00:00:00 CET 2012;181
Wed Nov 21 00:00:00 CET 2012;176;Thu Nov 15 00:00:00 CET 2012;181
Thu Nov 22 00:00:00 CET 2012;177;Fri Nov 16 00:00:00 CET 2012;189
Fri Nov 23 00:00:00 CET 2012;180;Mon Nov 19 00:00:00 CET 2012;188
Sat Nov 24 00:00:00 CET 2012;154;Tue Nov 20 00:00:00 CET 2012;180
Sun Nov 25 00:00:00 CET 2012;133;Wed Nov 21 00:00:00 CET 2012;161
Mon Nov 26 00:00:00 CET 2012;147;Thu Nov 22 00:00:00 CET 2012;158
Tue Nov 27 00:00:00 CET 2012;164;Fri Nov 23 00:00:00 CET 2012;152
Wed Nov 28 00:00:00 CET 2012;167;Mon Nov 26 00:00:00 CET 2012;146
Thu Nov 29 00:00:00 CET 2012;168;Tue Nov 27 00:00:00 CET 2012;131
Fri Nov 30 00:00:00 CET 2012;148;Wed Nov 28 00:00:00 CET 2012;121
Mon Dec 03 00:00:00 CET 2012;147;Thu Nov 29 00:00:00 CET 2012;116
Tue Dec 04 00:00:00 CET 2012;167;Fri Nov 30 00:00:00 CET 2012;105
Wed Dec 05 00:00:00 CET 2012;173;Sat Dec 01 00:00:00 CET 2012;101
Thu Dec 06 00:00:00 CET 2012;183;Mon Dec 03 00:00:00 CET 2012;119
Fri Dec 07 00:00:00 CET 2012;187;Tue Dec 04 00:00:00 CET 2012;110
Sat Dec 08 00:00:00 CET 2012;167;Wed Dec 05 00:00:00 CET 2012;105
Mon Dec 10 00:00:00 CET 2012;152;Thu Dec 06 00:00:00 CET 2012;117
Tue Dec 11 00:00:00 CET 2012;176;Fri Dec 07 00:00:00 CET 2012;123
Wed Dec 12 00:00:00 CET 2012;175;Sat Dec 08 00:00:00 CET 2012;98
Thu Dec 13 00:00:00 CET 2012;155;Mon Dec 10 00:00:00 CET 2012;167
Fri Dec 14 00:00:00 CET 2012;145;Tue Dec 11 00:00:00 CET 2012;171
Mon Dec 17 00:00:00 CET 2012;136;Wed Dec 12 00:00:00 CET 2012;145
Tue Dec 18 00:00:00 CET 2012;149;Thu Dec 13 00:00:00 CET 2012;122
Wed Dec 19 00:00:00 CET 2012;163;Fri Dec 14 00:00:00 CET 2012;112
Thu Dec 20 00:00:00 CET 2012;164;Mon Dec 17 00:00:00 CET 2012;91
Fri Dec 21 00:00:00 CET 2012;165;Tue Dec 18 00:00:00 CET 2012;74
Mon Dec 24 00:00:00 CET 2012;110;Wed Dec 19 00:00:00 CET 2012;60
Wed Dec 26 00:00:00 CET 2012;91;Thu Dec 20 00:00:00 CET 2012;49
Thu Dec 27 00:00:00 CET 2012;94;Fri Dec 21 00:00:00 CET 2012;40
Fri Dec 28 00:00:00 CET 2012;69;Mon Dec 24 00:00:00 CET 2012;31
Sun Dec 30 00:00:00 CET 2012;53;Wed Dec 26 00:00:00 CET 2012;22
Tue Jan 01 00:00:00 CET 2013;48;Thu Dec 27 00:00:00 CET 2012;25
Wed Jan 02 00:00:00 CET 2013;46;Fri Dec 28 00:00:00 CET 2012;21
Thu Jan 03 00:00:00 CET 2013;52;Wed Jan 02 00:00:00 CET 2013;20
Fri Jan 04 00:00:00 CET 2013;46;Thu Jan 03 00:00:00 CET 2013;23
Sat Jan 05 00:00:00 CET 2013;42;Fri Jan 04 00:00:00 CET 2013;17
Mon Jan 07 00:00:00 CET 2013;40;Mon Jan 07 00:00:00 CET 2013;15
Tue Jan 08 00:00:00 CET 2013;35;Tue Jan 08 00:00:00 CET 2013;11
Wed Jan 09 00:00:00 CET 2013;28;Thu Jan 10 00:00:00 CET 2013;5
Thu Jan 10 00:00:00 CET 2013;21;;
Fri Jan 11 00:00:00 CET 2013;22;;
Avrage WIP;187.36;;271.46
Sum;158507;;229111
